"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-11","4.0"," 1655"," 1652","0.0","0.0","0.0",,"11.7","5.6",,"   40","   60",,"8.0","10.3",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-12","6.2"," 2126"," 1849","5.3","0.0","0.0",,"6.1","3.9",,"   50","   70",,"11.2","18.3","    1",,,,"    1",,,"    1",,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-13","10.2"," 1623"," 1545","98.0","0.0","0.0",,"7.8","3.3",,"   60","   60",,"16.5","23.7","    1",,,,"    1",,,,,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-14","6.1"," 0020"," 0200","6.1","0.0","0.0",,"10.0","6.1",,"   50","   60",,"13.4","19.2","    1",,,,"    1",,,"    1",,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-15","5.2"," 2039"," 2038","8.4","0.0","0.0",,"7.8","5.0",,"   30","   40",,"10.3","14.3","    1",,,,"    1",,"    1","    1",,,"    1",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-16","3.4"," 0825"," 0230","0.0","0.0","0.0",,"17.2","5.0",,"   30","   60",,"8.0","13.4",,,,,,,,,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-17","1.1"," 1509"," 1632","0.0","0.0","0.0",,"18.9","6.1",,"  250","  270",,"5.4","5.8",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-18","1.5"," 1505"," 1505","0.0","0.0","0.0",,"20.6","10.0",,"  270","  260",,"5.8","7.2",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-19","1.5"," 1332"," 1614","0.0","0.0","0.0",,"22.2","9.4",,"  220","  150",,"5.8","7.2",,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2010-03-20","2.2"," 1412"," 1412","0.0","0.0","0.0",,"23.3","12.2",,"  240","  230",,"6.7","9.4",,,,,,,,,,,,,,,,,,
